Date,Sector,Sym,PctRet
2015-05-05,FX,AD,0.007162999999999999
2015-05-07,FX,AD,0.0008640000000000001
2015-05-08,FX,AD,-0.005148
2015-05-12,FX,AD,-0.004608
2015-05-12,FX,AD,0.002592
2015-05-13,FX,AD,0.006954000000000001
2015-05-13,FX,AD,0.000168
2015-05-22,FX,AD,0.0027719999999999997
2015-05-28,FX,AD,-0.000667
2015-06-02,FX,AD,0.007092
2015-06-02,FX,AD,0.007072
2015-06-04,FX,AD,0.007051999999999999
2015-06-04,FX,AD,-0.00041600000000000003
2015-06-05,FX,AD,4.8e-05
2015-06-10,FX,AD,-0.000598
2015-06-12,FX,AD,-0.005184
2015-06-12,FX,AD,-0.005184
2015-06-17,FX,AD,0.007051999999999999
2015-06-18,FX,AD,-0.0034219999999999997
2015-06-24,FX,AD,-0.0018239999999999999
2015-06-26,FX,AD,0.006887000000000001
2015-06-26,FX,AD,-0.001188
2015-06-29,FX,AD,-9.6e-05
2015-07-01,FX,AD,0.007056000000000001
2015-07-02,FX,AD,-0.005301
2015-07-05,FX,AD,0.008903
2015-07-13,FX,AD,-0.0030210000000000002
2015-07-14,FX,AD,0.006887000000000001
2015-07-14,FX,AD,-0.0038130000000000004
2015-07-15,FX,AD,0.006954000000000001
2015-07-15,FX,AD,0.007051999999999999
2015-07-15,FX,AD,5.7999999999999994e-05
2015-07-16,FX,AD,-0.005183
2015-07-16,FX,AD,-0.003198
2015-07-21,FX,AD,-0.002628
2015-07-22,FX,AD,0.002109
2015-07-23,FX,AD,-0.005016
2015-07-24,FX,AD,-0.0015480000000000001
2015-07-28,FX,AD,0.0017760000000000002
2015-07-31,FX,AD,-0.0035909999999999996
2015-07-31,FX,AD,-0.005162
2015-08-03,FX,AD,-0.005183
2015-08-03,FX,AD,0.00014199999999999998
2015-08-04,FX,AD,-0.0029519999999999998
2015-08-06,FX,AD,-0.005184
2015-08-07,FX,AD,0.002496
2015-08-10,FX,AD,-0.001596
2015-08-11,FX,AD,0.0032479999999999996
2015-08-12,FX,AD,0.001584
2015-08-20,FX,AD,-0.005248
2015-08-20,FX,AD,-0.005043
2015-08-21,FX,AD,-0.005301
2015-08-21,FX,AD,-0.005301
2015-09-01,FX,AD,0.007051999999999999
2015-09-01,FX,AD,0.004384000000000001
2015-09-04,FX,AD,-0.00010800000000000001
2015-09-10,FX,AD,0.001222
2015-09-14,FX,AD,-0.000328
2015-09-18,FX,AD,-0.0036079999999999997
2015-09-22,FX,AD,-0.003168
2015-10-01,FX,AD,-0.005184
2015-10-02,FX,AD,-0.005301
2015-10-05,FX,AD,-0.005301
2015-10-07,FX,AD,-0.005184
2015-10-14,FX,AD,-0.005043
2015-10-14,FX,AD,0.0039770000000000005
2015-10-16,FX,AD,-0.002064
2015-10-19,FX,AD,-0.005184
2015-10-21,FX,AD,-0.000144
2015-10-23,FX,AD,-0.005148
2015-10-23,FX,AD,0.000612
2015-10-26,FX,AD,-0.004118
2015-10-27,FX,AD,0.001254
2015-10-28,FX,AD,-0.005248
2015-10-28,FX,AD,0.000544
2015-11-04,FX,AD,0.006954000000000001
2015-11-04,FX,AD,0.000336
2015-11-06,FX,AD,0.002624
2015-11-17,FX,AD,-0.004446
2015-11-19,FX,AD,0.006954000000000001
2015-11-19,FX,AD,-0.001008
2015-11-20,FX,AD,-0.0013109999999999999
2015-11-29,FX,AD,0.00014199999999999998
2015-11-30,FX,AD,-0.001104
2015-12-01,FX,AD,0.006954000000000001
2015-12-01,FX,AD,0.004182
2015-12-04,FX,AD,-0.005148
2015-12-08,FX,AD,-0.002451
2015-12-11,FX,AD,0.002496
2015-12-14,FX,AD,0.007056000000000001
2015-12-14,FX,AD,-0.0019079999999999998
2015-12-15,FX,AD,0.006954000000000001
2015-12-15,FX,AD,-0.0029760000000000003
2015-12-17,FX,AD,-0.0008960000000000001
2015-12-18,FX,AD,0.00028700000000000004
2016-01-04,FX,AD,0.007092
2016-01-04,FX,AD,-0.000858
2016-01-05,FX,AD,-0.002784
2016-01-06,FX,AD,0.002624
2016-01-13,FX,AD,-0.000328
2016-01-14,FX,AD,-0.005301
2016-01-14,FX,AD,0.006954000000000001
2016-01-15,FX,AD,0.007162999999999999
2016-01-15,FX,AD,-0.000396
2016-01-19,FX,AD,-0.005056000000000001
2016-01-21,FX,AD,0.007056000000000001
2016-01-21,FX,AD,-0.000522
2016-01-27,FX,AD,-0.005043
2016-01-28,FX,AD,-0.005215999999999999
2016-02-02,FX,AD,0.001312
2016-02-03,FX,AD,0.006954000000000001
2016-02-03,FX,AD,0.007092
2016-02-04,FX,AD,-0.004224
2016-02-09,FX,AD,-0.005148
2016-02-09,FX,AD,-0.003136
2016-02-16,FX,AD,-0.000828
2016-02-17,FX,AD,0.0011070000000000001
2016-02-19,FX,AD,-0.005248
2016-02-22,FX,AD,0.006954000000000001
2016-02-22,FX,AD,-0.00010800000000000001
2016-03-03,FX,AD,0.0022559999999999998
2016-03-11,FX,AD,-0.000522
2016-03-14,FX,AD,0.001927
2016-03-15,FX,AD,0.0029760000000000003
2016-03-16,FX,AD,0.0035840000000000004
2016-03-17,FX,AD,-0.004736
2016-03-23,FX,AD,0.0061920000000000005
2016-03-30,FX,AD,-0.004018
2016-04-01,FX,AD,-0.005148
2016-04-05,FX,AD,0.000792
2016-04-06,FX,AD,-0.005248
2016-04-07,FX,AD,0.007051999999999999
2016-04-07,FX,AD,0.0029579999999999997
2016-04-11,FX,AD,0.007056000000000001
2016-04-11,FX,AD,-0.002268
2016-04-12,FX,AD,-0.005043
2016-04-12,FX,AD,0.0056170000000000005
2016-04-13,FX,AD,-0.003264
2016-04-14,FX,AD,-0.002378
2016-04-18,FX,AD,0.007056000000000001
2016-04-19,FX,AD,-0.005016
2016-04-21,FX,AD,0.005136
2016-04-26,FX,AD,-0.005301
2016-04-27,FX,AD,0.004004
2016-05-03,FX,AD,0.007128
2016-05-06,FX,AD,0.0018239999999999999
2016-05-16,FX,AD,-0.0018809999999999999
2016-05-18,FX,AD,-0.005184
2016-05-24,FX,AD,-0.0035039999999999997
2016-05-26,FX,AD,0.006887000000000001
2016-05-26,FX,AD,-0.005184
2016-05-27,FX,AD,-0.005183
2016-05-27,FX,AD,-0.001026
2016-05-31,FX,AD,0.006954000000000001
2016-05-31,FX,AD,-0.005248
2016-06-01,FX,AD,-0.005301
2016-06-02,FX,AD,-0.004446
2016-06-03,FX,AD,0.003973
2016-06-07,FX,AD,0.0037719999999999997
2016-06-14,FX,AD,-0.005301
2016-06-15,FX,AD,0.007056000000000001
2016-06-15,FX,AD,-0.0028079999999999997
2016-06-16,FX,AD,0.007051999999999999
2016-06-16,FX,AD,-0.005111999999999999
2016-06-20,FX,AD,-0.0038759999999999997
2016-07-04,FX,AD,0.002016
2016-07-05,FX,AD,0.002337
2016-07-06,FX,AD,0.007056000000000001
2016-07-06,FX,AD,0.002412
2016-07-07,FX,AD,-0.005301
2016-07-07,FX,AD,-0.000741
2016-07-08,FX,AD,0.004797
2016-07-12,FX,AD,0.000792
2016-07-15,FX,AD,-0.0011480000000000001
2016-07-19,FX,AD,-0.0017280000000000002
2016-07-26,FX,AD,-0.004704
2016-07-27,FX,AD,0.007104000000000001
2016-07-27,FX,AD,-0.005111999999999999
2016-07-29,FX,AD,0.007051999999999999
2016-07-29,FX,AD,0.0008640000000000001
2016-08-02,FX,AD,-0.001152
2016-08-05,FX,AD,-0.005301
2016-08-08,FX,AD,-0.0025440000000000003
2016-08-10,FX,AD,0.006887000000000001
2016-08-10,FX,AD,-0.005043
2016-08-16,FX,AD,-0.0039840000000000006
2016-08-17,FX,AD,-0.0036079999999999997
2016-08-19,FX,AD,-0.002993
2016-08-30,FX,AD,0.001536
2016-09-06,FX,AD,0.002412
2016-09-09,FX,AD,0.007056000000000001
2016-09-09,FX,AD,0.0029519999999999998
2016-09-13,FX,AD,-0.000576
2016-09-19,FX,AD,0.006954000000000001
2016-09-19,FX,AD,-0.005184
